"","company.name","company.code"
"496","NORTEC QUIMICA S.A.",22985
"497","LIGHT ENERGIA S.A.",23000
"498","LINX S.A.",23035
"499","TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.",23060
"500","BPMB I PARTICIPAÇÕES S.A.",23108
"501","BSI CAPITAL SECURITIZADORA S.A.",23132
"502","SMILES S.A.",23140
"503","BB SEGURIDADE PARTICIPAÇÕES S.A.",23159
"504","RODOVIAS DAS COLINAS S.A.",23167
"505","ALTUS SISTEMA DE AUTOMAÇÃO S.A.",23183
"506","BR TOWERS SPE1 S.A.",23205
"507","SER EDUCACIONAL S.A.",23221
"508","RAÍZEN ENERGIA S.A.",23230
"509","ANIMA HOLDING S/A",23248
"510","AMBEV S.A.",23264
"511","LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.",23272
"512","OURO VERDE LOCAÇÃO E SERVIÇO S.A.",23280
"513","JP PARTICIPAÇÕES S.A.",23299
"514","QUALITY SOFTWARE S.A.",23302
"515","CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA",23310
"516","TERMELÉTRICA PERNAMBUCO III S.A.",23329
"517","SCCI - SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS S.A.",23337
"518","SANTO ANTONIO ENERGIA S.A.",23388
"519","OMEGA GERAÇÃO S.A.",23426
"520","LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL",23434
"521","AGUAS GUARIROBA S.A.",23442
"522","RUMO LOGÍSTICA OPERADORA MULTIMODAL S.A.",23450
"523","PROLAGOS S.A. - CONCESSIONÁRIA DE SERVIÇOS PÚBLICOS DE ÁGUA E ESGOTO",23469
"524","LOGOS COMPANHIA SECURITIZADORA S/A",23477
"525","COSAN LOGÍSTICA S.A.",23485
"526","DOMMO ENERGIA S.A.",23493
"527","OURO FINO SAÚDE ANIMAL PARTICIPAÇÕES S.A.",23507
"528","CONC. DO AEROPORTO INTERNACIONAL DE GUARULHOS S.A.",23515
"529","PORTO SUDESTE V.M. S.A.",23523
"530","SALUS INFRAESTRUTURA PORTUÁRIA S.A.",23540
"531","INTERNATIONAL MEAL COMPANY ALIMENTAÇÃO S.A.",23574
"532","WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.",23590
"533","YOU INC INCORPORADORA E PARTICIPAÇÕES S.A.",23604
"534","MAESTRO LOCADORA DE VEÍCULOS S.A.",23612
"535","BR HOME CENTERS S.A.",23710
"536","PRÁTICA PARTICIPAÇÕES S.A.",23728
"537","FORNO DE MINAS ALIMENTOS S.A.",23736
"538","RENOVA COMP. SECURITIZ. DE CRÉDITOS FINANC. S.A.",23744
"539","REAG SECURITIES - SECURITIZADORA DE CRÉDITOS S/A",23760
"540","BS&C EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",23779
"541","COMPANHIA DE SANEAMENTO DO TOCANTINS - SANEATINS",23809
"542","BRQ SOLUÇÕES EM INFORMÁTICA S.A.",23817
"543","MOVIDA PARTICIPAÇÕES S.A.",23825
"544","SUGOI INCORPORADORA E CONSTRUTORA S.A.",23957
"545","CINESYSTEM S.A.",23965
"546","CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.",23981
"547","VERT COMPANHIA SECURITIZADORA",23990
"548","NCF PARTICIPAÇÕES S.A.",24015
"549","GAIA CRED SECURITIZADORA DE CRÉDITOS FINANCEIROS S.A.",24040
"550","CENTRO DE IMAGEM DIAGNÓSTICOS S.A.",24058
"551","TCP - TERMINAL DE CONTÊINERES DE PARANAGUÁ S.A.",24066
"552","INSTITUTO HERMES PARDINI S/A",24090
"553","CONCESSIONÁRIA DA RODOVIA MG-050 S.A.",24104
"554","AZUL S.A.",24112
"555","PACIFIC RDSL PARTICIPAÇÕES S.A.",24163
"556","ATACADÃO S.A.",24171
"557","IRB - BRASIL RESSEGUROS S.A.",24180
"558","STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS",24201
"559","CAMIL ALIMENTOS S/A",24228
"560","PRINER SERVIÇOS INDUSTRIAIS S.A.",24236
"561","SMILES FIDELIDADE S.A.",24252
"562","SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.",24260
"563","INTER CONSTRUTORA E INCORPORADORA S.A",24279
"564","CELULOSE IRANI SA",2429
"565","PETROBRAS DISTRIBUIDORA SA",24295
"566","BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S.A.",24317
"567","ENTREVIAS CONCESSIONÁRIA DE RODOVIAS S.A.",24341
"568","FLEX GESTÃO DE RELACIONAMENTO S.A.",24350
"569","CENTRAIS ELETRICAS BRASILEIRAS SA",2437
"570","NOTRE DAME INTERMÉDICA PARTICIPAÇÕES S.A.",24384
"571","HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.",24392
"572","BANCO INTER S.A.",24406
"573","EQUATORIAL TRANSMISSORA 7 SPE S.A.",24457
"574","BANCO AGIBANK S.A.",NA
"575","EQUATORIAL TRANSMISSORA 8 SPE S.A.",24481
"576","SABER SERVIÇOS EDUCACIONAIS S.A.",24490
"577","AMALFI EMPREENDIMENTOS E PARTICIPAÇÕES S.A.",24503
"578","CIA ENERG MINAS GERAIS - CEMIG",2453
"579","CENTRAIS ELETRICAS DE SANTA CATARINA S.A",2461
"580","CERAMICA CHIARELLI SA - EM RECUPERAÇÃO JUDICIAL",2488
"581","CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO",2577
"582","CIA CACIQUE CAFE SOLUVEL",2909
"583","AMPLA ENERGIA E SERVIÇOS S.A.",3050
"584","CIA FERRO LIGAS BAHIA FERBASA",3069
"585","COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA",3077
"586","CIA SEGUROS ALIANCA BAHIA",3115
"587","CIA TECIDOS NORTE DE MINAS - COTEMINAS",3158
"588","CIA DOCAS DE IMBITUBA",3174
"589","DOCAS INVESTIMENTOS SA",3182
"590","REDE ENERGIA PARTICIPAÇÕES S.A.",3190
"591","CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA",3204
"592","COMPANHIIA HABITASUL DE PARTICIPAÇÕES",3298
"593","CIA. IGUAÇU DE CAFÉ SOLÚVEL",3336
"594","COMPANHIA INDUSTRIAL CATAGUASES",3395
"595","CIA INDL SCHLOSSER SA - EM RECUPERAÇÃO JUDICIAL",3549
"596","COMPANHIA  MELHORAMENTOS DE SÃO PAULO",3654
"597","COMPANHIA PAULISTA DE FORCA LUZ - CPFL",3824
"598","FINANCEIRA ALFA S.A.- C.F.I",3891
"599","GERDAU S.A.",3980
"600","CIA SIDERURGICA NACIONAL",4030
"601","SOUZA CRUZ SA",4057
"602","CIA TECIDOS SANTANENSE",4081
"603","KARSTEN SA",4146
"604","VALE S.A.",4170
"605","ELEKEIROZ S/A",4359
"606","COBRASMA SA",4448
"607","GRAZZIOTIN SA",4537
"608","CONFAB INDUSTRIAL SA",4650
"609","GUARARAPES CONFECÇÕES SA",4669
"610","CONSERVAS ODERICH SA",4693
"611","CONSORCIO ALFA DE ADMINISTRAÇÃO SA",4707
"612","CONST ADOLPHO LINDENBERG SA",4723
"613","CONSTRUTORA BETER SA",4758
"614","CONST LIX DA CUNHA SA",4774
"615","MENDES JUNIOR ENGENHARIA SA",4782
"616","BRASKEM S.A.",4820
"617","CORREA RIBEIRO SA COM IND",4863
"618","DOHLER S.A.",5207
"619","RAIA DROGASIL S.A.",5258
"620","MUNDIAL S.A - PRODUTOS DE CONSUMO",5312
"621","ELECTRO AÇO ALTONA S/A",5380
"622","WEG SA",5410
"623","ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S/A",5576
"624","ETERNIT S.A.- EM RECUPERAÇÃO JUDICIAL",5762
"625","EUCATEX SA IND E COMERCIO",5770
"626","MASSA FALIDA DA FÁBRICA DE TECIDOS CARLOS RENAUX S.A.",5827
"627","FIACAO E TECELAGEM SAO JOSE S/A - EM RECUPERAÇÃO JUDICIAL",5983
"628","VICUNHA TEXTIL SA",5991
"629","FIBAM CIA INDUSTRIAL - EM RECUPERAÇÃO JUDICIAL",6017
"630","INVESTIMENTOS BEMGE S.A.",6041
"631","FINANSINOS S/A-CRÉDITO, FINAN. E INVEST.",6076
"632","FORJAS TAURUS SA",6173
"633","FRAS-LE SA",6211
"634","TUPY SA",6343
"635","GAZOLA SA INDÚSTRIA METALURGICA",6378
"636","VIA VAREJO S.A.",6505
"637","HERCULES S/A - FABRICA DE TALHERES",6629
"638","HOTEIS OTHON SA",6700
"639","IGB ELETRÔNICA S.A. - EM RECUPERAÇÃO JUDICIAL",6815
"640","BAHEMA SA",701
"641","INDÚSTRIAS ROMI S.A.",7510
"642","TÊXTIL RENAUXVIEW S/A",7544
"643","INEPAR SA IND E CONSTRUÇÕES - EM RECUPERAÇÃO JUDICIAL",7595
"644","ITAÚSA - INVESTIMENTOS ITAÚ S.A.",7617
"645","JOAO FORTES ENGENHARIA SA",7811
"646","KEPLER WEBER SA",7870
"647","LARK SA MAQ E EQUIPAMENTOS(Massa Falida Administrada Judicialmente p/Soc.Advogados Mandel Advocacia)",7978
"648","LIGHT SERVIÇOS DE ELETRICIDADE SA",8036
"649","LOJAS AMERICANAS SA",8087
"650","LOJAS HERING SA",8117
"651","LOJAS RENNER SA",8133
"652","TREVISA  INVESTIMENTOS SA",8192
"653","MANGELS INDUSTRIAL S.A.",8397
"654","MANUFATURA DE  BRINQUEDOS ESTRELA SA",8427
"655","MARCOPOLO SA",8451
"656","MARISOL SA",8486
"657","MERCANTIL DO BR FINC SA CFI",8540
"658","MAHLE METAL LEVE S.A.",8575
"659","METALGRAFICA IGUACU SA",8605
"660","METALURGICA DUQUE SA - EM RECUPERAÇÃO JUDICIAL",8648
"661","METALURGICA GERDAU SA",8656
"662","JEREISSATI PARTICIPAÇÕES S/A",8672
"663","METISA METALÚRGICA  TIMBOENSE SA",8753
"664","MINASMAQUINAS SA",8818
"665","MONTEIRO ARANHA SA",8893
"666","NADIR FIGUEIREDO IND E COM SA",9040
"667","BANCO BRADESCO S.A.",906
"668","SUZANO HOLDING S.A.",9067
"669","NORDON INDS METALURGICAS SA",9083
"670","BANCO DA AMAZÔNIA S.A.",922
"671","DIMED SA DISTRIBUIDORA DE MEDICAMENTOS",9342
"672","PARANAPANEMA SA",9393
"673","PANATLANTICA SA",94
"674","SÃO PAULO TURISMO S. A.",9415
"675","PETRÓLEO BRASILEIRO  S.A.  - PETROBRAS",9512
"676","PETTENATI SA IND TEXTIL",9539
"677","PRONOR PETROQUIMICA SA",9784
"678","QGN PARTICIPAÇÕES SA",9857
"679","ALFA HOLDINGS SA",9954
"680","REFINARIA PET MANGUINHOS SA",9989
