"","company.name","company.code"
"120","SUL 116 PARTICIPAÇÕES S.A.",16438
"121","NUMERAL 80 PARTICIPAÇÕES S.A.",16446
"122","EMP.NAC. DE COMÉRCIO, RÉDITO E PART. S.A. - ENCORPAR",16497
"123","RGE SUL DISTRIBUIDORA DE ENERGIA S.A.",16527
"124","RIO GRANDE ENERGIA SA",16535
"125","WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.",16551
"126","BONAIRE PARTICIPAÇOES SA",16560
"127","SUDESTE SA",16586
"128","COMPANHIA ENERGÉTICA DO MARANHÃO CEMAR",16608
"129","CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO",16616
"130","UPTICK PARTICIPACOES SA",16624
"131","GPC PARTICIPACOES SA",16632
"132","PORTO SEGURO SA",16659
"133","LIGA FUTEBOL SA",16691
"134","ALEF SA",16705
"135","INEPAR ENERGIA SA",16730
"136","BNDES PARTICIPAÇÕES S.A. - BNDESPAR",16772
"137","PRÓ METALURGIA SA - EM LIQUIDAÇÃO EXTRAJUDICIAL",1686
"138","CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN",16861
"139","BICICLETAS MONARK SA",1694
"140","OPPORTUNITY ENERGIA E PARTICIPAÇÕES S.A.",16942
"141","DALETH PARTICIPAÇÕES SA - EM LIQUIDAÇÃO",16950
"142","EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.",16985
"143","EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A",16993
"144","ENGIE BRASIL ENERGIA S.A.",17329
"145","RET PARTICIPAÇÕES S/A",17337
"146","ZAIN PARTICIPAÇÕES S/A",17361
"147","FUTURETEL SA",17388
"148","TELINVEST SA",17418
"149","LONGDIS SA",17434
"150","LF TEL SA",17442
"151","RUMO S.A.",17450
"152","ELEKTRO REDES S.A.",17485
"153","CAPITALPART PARTICIPAÇÕES SA",17493
"154","NEWTEL PARTICIPACOES SA",17540
"155","INNCORP S.A.",17558
"156","CONCES DA ROD OSÓRIO-POA S/A - CONCEPA",17590
"157","TELE NORTE CELULAR PARTICIPAÇÕES SA",17604
"158","TIM PARTICIPAÇÕES SA",17639
"159","EMBRATEL PARTICIPAÇÕES SA",17647
"160","TELE NORTE LESTE PARTICIPAÇÕES SA",17655
"161","TELEFÔNICA BRASIL S.A.",17671
"162","VIVO PARTICIPAÇÕES SA",17710
"163","CBCC PARTICIPAÇÕES SA",NA
"164","MAORI SA",17779
"165","SUBESTAÇÃO ELETROMETRÔ S/A",17787
"166","BETAPART PARTICIPAÇÕES SA",17884
"167","SANTOS BRASIL PARTICIPAÇÕES S.A.",17892
"168","PEARSON SISTEMAS DO BRASIL S.A.",NA
"169","MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL",17914
"170","BRAZILIAN FINANCE & REAL ESTATE S.A.",17922
"171","RUMO MALHA PAULISTA S.A.",17930
"172","MRS LOGÍSTICA S/A",17949
"173","GAMA PARTICIPAÇÕES S.A.",17965
"174","KROTON EDUCACIONAL S.A.",17973
"175","ALTERE SECURITIZADORA S.A.",18066
"176","ALIUM PARTICIPAÇÕES SA",18082
"177","AETATIS SECURITIZADORA S.A.",18104
"178","COMPANHIA DE BEBIDAS DAS AMÉRICAS-AMBEV",18112
"179","CIA ENERGÉTICA DO RIO GRANDE DO NORTE",18139
"180","PÁTRIA COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS",18236
"181","RASIP AGRO PASTORIL SA",18279
"182","CIBRASEC CIA BRASILEIRA DE SECURITIZAÇÃO",18287
"183","CENTRAIS ELÉTRICAS DO PARÁ S.A. - CELPA",18309
"184","PROMPT PARTICIPAÇÕES S.A.",18333
"185","AES TIETE SA",18350
"186","RIO PARANAPANEMA ENERGIA SA",18368
"187","CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA",18376
"188","RB CAPITAL COMPANHIA DE SECURITIZAÇÃO",18406
"189","IDEIASNET SA",18414
"190","REAL AI PIC SECURITIZADORA DE CREDITOS IMOBILIARIOS S.A.",18430
"191","ULTRAPAR PARTICIPAÇÕES SA",18465
"192","CLARION S/A AGROINDUSTRIAL",18490
"193","TERMINAL GARAGEM MENEZES CORTES SA",18538
"194","COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ",18546
"195","INVESTCO S/A",18589
"196","DTCOM - DIRECT TO COMPANY S.A.",18597
"197","CIA. DE SANEAMENTO DO PARANÁ - SANEPAR",18627
"198","PRIVATINVEST PARTICIPAÇÕES SA",18635
"199","ARAUCÁRIA PARTICIPAÇÕES SA",18651
"200","CPFL ENERGIA SA",18660
"201","TELEMAR PARTICIPAÇÕES SA",18678
"202","CIA DE PARTICIPAÇÕES ALIANÇA DA BAHIA",18708
"203","CEMIG TELECOMUNICAÇÕES S/A",18716
"204","BRADESPAR S/A",18724
"205","BRAZILIAN SECURITIES CIA SECURITIZAÇÃO",18759
"206","INVEST.E PART.EM INFRA-ESTR.S/A-INVEPAR",18775
"207","CCR S.A.",18821
"208","VICUNHA SIDERURGIA SA",18902
"209","CPFL GERAÇÃO DE ENERGIA S/A",18953
"210","ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.",18961
"211","AES TIETÊ ENERGIA S.A",18970
"212","VOTORANTIM FINANÇAS SA",18988
"213","ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A",18996
"214","EMPR. CONCESS. DE RODOVIAS DO NORTE S.A.",19011
"215","BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.",19046
"216","ANDRADE GUTIERREZ PARTICIPAÇÕES SA",19062
"217","DOMMO EMPREENDIMENTOS IMOBILIÁRIOS S.A.",19070
"218","COARI PARTICIPAÇÕES SA",19089
"219","CAIANDA PARTICIPAÇÕES SA",19097
"220","LIQ PARTICIPAÇÕES S.A.",19100
"221","CABINDA PARTICIPAÇÕES SA",19119
"222","CACONDE PARTICIPAÇÕES SA",19135
"223","RODONORTE - CONC. ROD. INTEGRADAS S.A.",19151
"224","NOVAMARLIM PARTICIPAÇÕES S/A",NA
"225","SANEAMENTO DE GOIAS SA",19186
"226","NOVAMARLIM PETROLEO SA",NA
"227","CONCESSIONARIA RIO-TERESOPOLIS SA",19208
"228","CP CIMENTO E PARTICIPAÇÕES  S/A",19216
"229","NOVA AÇÃO PARTICIPAÇÕES S.A.",19224
"230","PRODUTORES ENERGETICOS DE MANSO SA",19232
"231","CIA DE RECUPERAÇÃO SECUNDÁRIA",19240
"232","QUATTOR PETROQUÍMICA S.A.",NA
"233","CIA PIRATININGA DE FORÇA E LUZ",19275
"234","BIOMM SA",19305
"235","AES ELPA SA",19313
"236","TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.",19330
"237","ITAÚ UNIBANCO HOLDING S.A.",19348
"238","REC SAO BERNARDO SECURITIZADORA DE CREDITOS IMOBILIARIOS S.A.",19356
"239","ITAPEBI GERAÇÃO DE ENERGIA S/A",19364
"240","BRPR 51 SECURITZADORA CRED IMOB SA",19372
"241","BRPR 53 SECURITZADORA CRED IMOB SA",19380
"242","CIA PROVINCIA DE SECURITIZAÇÃO CRED IMOB",19429
"243","ANDRADE GUTIERREZ CONCESSOES SA",19437
"244","COMPANHIA DE SANEAMENTO DE MINAS GERAIS",19445
"245","ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.",19453
"246","BGPAR SA",19500
"247","PIPA CIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS",19518
"248","FIBRA CIA SECURITIZADORA CRED IMOB",19542
"249","NATURA COSMETICOS SA",19550
"250","GOL LINHAS AEREAS INTELIGENTES SA",19569
