"","Codigo","Companhia","Ano","APC"
"79",20,"VULCABRAS|AZALEIA S.A.","2013",93212388
"80",20,"VULCABRAS|AZALEIA S.A.","2012",143830941
"81",20,"VULCABRAS|AZALEIA S.A.","2011",109047787
"82",20,"VULCABRAS|AZALEIA S.A.","2010",16498674
"83",22,"IOCHPE-MAXION SA","2017",122013
"84",22,"IOCHPE-MAXION SA","2016",16668685
"85",22,"IOCHPE-MAXION SA","2015",18166574
"86",22,"IOCHPE-MAXION SA","2014",99634133
"87",22,"IOCHPE-MAXION SA","2013",61667408
"88",22,"IOCHPE-MAXION SA","2012",72579702
"89",22,"IOCHPE-MAXION SA","2011",51504161
"90",22,"IOCHPE-MAXION SA","2010",58626430
"91",23,"AZEVEDO & TRAVASSOS SA","2017",0
"92",23,"AZEVEDO & TRAVASSOS SA","2016",18000
"93",23,"AZEVEDO & TRAVASSOS SA","2015",472000
"94",23,"AZEVEDO & TRAVASSOS SA","2014",472000
"95",23,"AZEVEDO & TRAVASSOS SA","2013",472000
"96",23,"AZEVEDO & TRAVASSOS SA","2012",472000
"97",23,"AZEVEDO & TRAVASSOS SA","2011",472000
"98",23,"AZEVEDO & TRAVASSOS SA","2010",472
"99",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2017",0
"100",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2011",5411759
"101",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2010",5272180
"102",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2014",852346
"103",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2013",0
"104",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2012",1687072
"105",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2011",843515
"106",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2010",843515
"107",27,"COSTA PINTO S.A.","2012",0
"108",27,"COSTA PINTO S.A.","2011",0
"109",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2016",0
"110",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2015",0
"111",32,"RECRUSUL SA","2014",60541
"112",32,"RECRUSUL SA","2013",4540569
"113",32,"RECRUSUL SA","2012",15511385
"114",32,"RECRUSUL SA","2011",15511385
"115",32,"RECRUSUL SA","2010",4540569
"116",34,"SANSUY SA INDÚSTRIA  DE PLASTICOS","2017",863
"117",36,"SIDERURGICA J L ALIPERTI SA","2017",2583
"118",36,"SIDERURGICA J L ALIPERTI SA","2016",2583
"119",36,"SIDERURGICA J L ALIPERTI SA","2015",25832
"120",36,"SIDERURGICA J L ALIPERTI SA","2014",25832
"121",36,"SIDERURGICA J L ALIPERTI SA","2013",25832
"122",36,"SIDERURGICA J L ALIPERTI SA","2012",25832
"123",36,"SIDERURGICA J L ALIPERTI SA","2011",25832
"124",36,"SIDERURGICA J L ALIPERTI SA","2010",25832
"125",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2017",1000
"126",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2016",1000
"127",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2015",1000
"128",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2014",1000
"129",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2013",1000
"130",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2012",1000
"131",38,"CONST SULTEPA SA - EM RECUPERAÇÃO JUDICIAL","2011",1000
"132",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2016",1050450
"133",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2015",1050450
"134",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2014",1050450
"135",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2013",6241841
"136",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2012",1050450
"137",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2011",1050450
"138",39,"BANCO MERCANTIL DE INVESTIMENTOS S.A.","2010",1050450
"139",40,"BANCO MERCANTIL BRASIL SA","2017",1534466
"140",40,"BANCO MERCANTIL BRASIL SA","2016",13262560
"141",40,"BANCO MERCANTIL BRASIL SA","2015",12508983
"142",40,"BANCO MERCANTIL BRASIL SA","2014",12305132
"143",40,"BANCO MERCANTIL BRASIL SA","2013",10102472
"144",40,"BANCO MERCANTIL BRASIL SA","2012",11315662
"145",40,"BANCO MERCANTIL BRASIL SA","2011",17436926
"146",40,"BANCO MERCANTIL BRASIL SA","2010",17576643
"147",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2017",11300
"148",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2016",28000
"149",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2015",27500
"150",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2014",25900
"151",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2013",10800
"152",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2012",9700
"153",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2011",5300
"154",41,"JOSAPAR- JOAQUIM OLIVEIRA S/A PARTICIP","2010",5000
"155",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2017",405227
"156",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2016",412427
"157",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2015",419427
"158",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2014",425227
"159",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2013",358210
"160",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2012",882937
"161",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2011",1082437
"162",42,"HAGA S.A. INDÚSTRIA E COMÉRCIO","2010",543687
"163",44,"METALURGICA RIOSULENSE SA","2017",6860
"164",44,"METALURGICA RIOSULENSE SA","2016",329280
"165",44,"METALURGICA RIOSULENSE SA","2015",336140
"166",44,"METALURGICA RIOSULENSE SA","2014",336140
"167",44,"METALURGICA RIOSULENSE SA","2013",336140
"168",44,"METALURGICA RIOSULENSE SA","2012",336140
"169",44,"METALURGICA RIOSULENSE SA","2011",336140
"170",44,"METALURGICA RIOSULENSE SA","2010",336140
"171",45,"POLPAR S.A.","2017",9299
"172",45,"POLPAR S.A.","2016",27681
"173",45,"POLPAR S.A.","2015",38681
"174",45,"POLPAR S.A.","2014",60431
"175",45,"POLPAR S.A.","2013",60431
"176",45,"POLPAR S.A.","2012",60431
"177",45,"POLPAR S.A.","2011",60431
"178",45,"POLPAR S.A.","2010",60431
"179",47,"MINUPAR PARTICIPACOES SA","2017",703867
"180",47,"MINUPAR PARTICIPACOES SA","2016",70682112
"181",47,"MINUPAR PARTICIPACOES SA","2015",163024112
"182",47,"MINUPAR PARTICIPACOES SA","2014",161124112
"183",47,"MINUPAR PARTICIPACOES SA","2013",128724112
"184",47,"MINUPAR PARTICIPACOES SA","2012",169391688
"185",47,"MINUPAR PARTICIPACOES SA","2011",155519673
"186",47,"MINUPAR PARTICIPACOES SA","2010",154323773
"187",48,"PBG S/A","2017",4436332
"188",48,"PBG S/A","2016",74012347
"189",48,"PBG S/A","2015",103031879
"190",48,"PBG S/A","2014",77901179
"191",48,"PBG S/A","2013",77881179
"192",48,"PBG S/A","2012",52750479
"193",48,"PBG S/A","2011",87775144
"194",48,"PBG S/A","2010",96541860
"195",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2017",1917547
"196",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2016",30825166
"197",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2015",34936892
"198",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2014",12098682
"199",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2013",12098682
"200",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2012",12098682
"201",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2011",12098682
"202",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2010",12098682
"203",50,"BANCO ALFA DE INVESTIMENTO SA","2017",2532
"204",50,"BANCO ALFA DE INVESTIMENTO SA","2016",6166444
"205",50,"BANCO ALFA DE INVESTIMENTO SA","2015",5064
"206",50,"BANCO ALFA DE INVESTIMENTO SA","2014",3085754
"207",50,"BANCO ALFA DE INVESTIMENTO SA","2013",3203624
"208",50,"BANCO ALFA DE INVESTIMENTO SA","2012",3256586
"209",50,"BANCO ALFA DE INVESTIMENTO SA","2011",3206156
"210",50,"BANCO ALFA DE INVESTIMENTO SA","2010",8247804
"211",51,"CEMEPE INVESTIMENTOS SA","2012",124452
"212",51,"CEMEPE INVESTIMENTOS SA","2011",124452
"213",51,"CEMEPE INVESTIMENTOS SA","2010",124452
"214",52,"SUZANO PAPEL E CELULOSE SA","2017",48077095
"215",52,"SUZANO PAPEL E CELULOSE SA","2016",255717925
"216",52,"SUZANO PAPEL E CELULOSE SA","2015",208869205
"217",52,"SUZANO PAPEL E CELULOSE SA","2014",8003
"218",52,"SUZANO PAPEL E CELULOSE SA","2013",15159
"219",52,"SUZANO PAPEL E CELULOSE SA","2012",10009122
"220",52,"SUZANO PAPEL E CELULOSE SA","2011",10012879
"221",52,"SUZANO PAPEL E CELULOSE SA","2010",16796793
"222",57,"TEC TOY S/A","2017",2499
"223",57,"TEC TOY S/A","2016",2503
"224",57,"TEC TOY S/A","2015",2503
"225",57,"TEC TOY S/A","2014",3004
"226",57,"TEC TOY S/A","2013",2.5e+09
"227",57,"TEC TOY S/A","2012",2.5e+09
"228",57,"TEC TOY S/A","2011",2.5e+09
"229",57,"TEC TOY S/A","2010",2.5e+09
