"","Codigo","Companhia","Ano","Remuneração.Média"
"74",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2017",0
"75",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2016",0
"76",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2015",1072676.24625
"77",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2014",753674.228
"78",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2013",886185
"79",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2012",524063.96375
"80",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2011",489294.54625
"81",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2010",521965.3235
"82",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2017",22154303.4642857
"83",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2016",16352342.9931818
"84",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2015",7987978.24381818
"85",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2014",3906839.40129412
"86",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2013",2733487.91964706
"87",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2012",1712456.59915305
"88",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2011",2822687.59928571
"89",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2010",939644.736842105
"90",15,"TELEMAR NORTE LESTE SA","2010",613690.022
"91",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2017",1045817.03333333
"92",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2017",673035.342666667
"93",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2016",656849.703333333
"94",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2015",601205.491111111
"95",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2014",568773.32
"96",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2013",511792.098353375
"97",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2012",453387.14
"98",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2011",324645.74
"99",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2010",300677.22
"100",18,"UNIPAR CARBOCLORO S.A.","2017",5131675.26125
"101",18,"UNIPAR CARBOCLORO S.A.","2016",4360767.75533333
"102",18,"UNIPAR CARBOCLORO S.A.","2015",4173143.48990896
"103",18,"UNIPAR CARBOCLORO S.A.","2014",3626768.9115
"104",18,"UNIPAR CARBOCLORO S.A.","2013",3377407.78350532
"105",18,"UNIPAR CARBOCLORO S.A.","2012",1519329.67599041
"106",18,"UNIPAR CARBOCLORO S.A.","2011",1523989.12327623
"107",18,"UNIPAR CARBOCLORO S.A.","2010",1191570.88262085
"108",19,"BANCO DO ESTADO DO PARÁ S/A.","2017",436500.930296435
"109",19,"BANCO DO ESTADO DO PARÁ S/A.","2016",397475.558333333
"110",19,"BANCO DO ESTADO DO PARÁ S/A.","2015",775233.190833333
"111",19,"BANCO DO ESTADO DO PARÁ S/A.","2014",663093.230833333
"112",19,"BANCO DO ESTADO DO PARÁ S/A.","2013",480256.903536253
"113",19,"BANCO DO ESTADO DO PARÁ S/A.","2012",483208.795
"114",19,"BANCO DO ESTADO DO PARÁ S/A.","2011",420887.151768531
"115",19,"BANCO DO ESTADO DO PARÁ S/A.","2010",292709.193726937
"116",20,"VULCABRAS|AZALEIA S.A.","2017",1635635.84
"117",20,"VULCABRAS|AZALEIA S.A.","2016",1410024.815
"118",20,"VULCABRAS|AZALEIA S.A.","2015",1530939.46666667
"119",20,"VULCABRAS|AZALEIA S.A.","2014",1286789.66666667
"120",20,"VULCABRAS|AZALEIA S.A.","2013",674071.428571429
"121",20,"VULCABRAS|AZALEIA S.A.","2012",1403714.28571429
"122",20,"VULCABRAS|AZALEIA S.A.","2011",2033714.28571429
"123",20,"VULCABRAS|AZALEIA S.A.","2010",1817500
"124",21,"WEMBLEY SOCIEDADE ANÔNIMA","2015",381400
"125",21,"WEMBLEY SOCIEDADE ANÔNIMA","2014",358800
"126",21,"WEMBLEY SOCIEDADE ANÔNIMA","2013",254933.333333333
"127",21,"WEMBLEY SOCIEDADE ANÔNIMA","2012",225666.666666667
"128",21,"WEMBLEY SOCIEDADE ANÔNIMA","2011",225666.666666667
"129",21,"WEMBLEY SOCIEDADE ANÔNIMA","2010",402333.333333333
"130",22,"IOCHPE-MAXION SA","2017",3913357.11111111
"131",22,"IOCHPE-MAXION SA","2016",4217488.77777778
"132",22,"IOCHPE-MAXION SA","2015",2380468.05263158
"133",22,"IOCHPE-MAXION SA","2014",1935431.42424242
"134",22,"IOCHPE-MAXION SA","2013",2732263.31313131
"135",22,"IOCHPE-MAXION SA","2012",1776844.41666667
"136",22,"IOCHPE-MAXION SA","2011",3070270.75
"137",22,"IOCHPE-MAXION SA","2010",1642850.66666667
"138",23,"AZEVEDO & TRAVASSOS SA","2017",516533.333333333
