"","Código","Companhia","Ano","Dummy"
"1",1,"BANCO DO BRASIL S.A.","2017",0
"2",1,"BANCO DO BRASIL S.A.","2016",0
"3",1,"BANCO DO BRASIL S.A.","2015",0
"4",1,"BANCO DO BRASIL S.A.","2014",0
"5",1,"BANCO DO BRASIL S.A.","2013",0
"6",1,"BANCO DO BRASIL S.A.","2012",0
"7",1,"BANCO DO BRASIL S.A.","2011",0
"8",1,"BANCO DO BRASIL S.A.","2010",0
"9",2,"ALPARGATAS SA","2017",0
"10",2,"ALPARGATAS SA","2016",0
"11",2,"ALPARGATAS SA","2015",0
"12",2,"ALPARGATAS SA","2014",0
"13",2,"ALPARGATAS SA","2013",0
"14",2,"ALPARGATAS SA","2012",0
"15",2,"ALPARGATAS SA","2011",0
"16",2,"ALPARGATAS SA","2010",0
"17",3,"SARAIVA SA LIVREIROS EDITORES","2017",0
"18",3,"SARAIVA SA LIVREIROS EDITORES","2016",0
"19",3,"SARAIVA SA LIVREIROS EDITORES","2015",0
"20",3,"SARAIVA SA LIVREIROS EDITORES","2014",0
"21",3,"SARAIVA SA LIVREIROS EDITORES","2013",0
"22",3,"SARAIVA SA LIVREIROS EDITORES","2012",0
"23",3,"SARAIVA SA LIVREIROS EDITORES","2011",0
"24",3,"SARAIVA SA LIVREIROS EDITORES","2010",0
"25",4,"SERGEN SERVS GERAIS DE ENG SA","2010",1
"26",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2017",1
"27",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2016",1
"28",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2015",1
"29",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2014",1
"30",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2013",1
"31",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2012",1
"32",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2011",1
"33",5,"SONDOTECNICA ENGENHARIA DE SOLOS S/A.","2010",1
"34",6,"SPRINGER SA","2017",0
"35",6,"SPRINGER SA","2016",0
"36",6,"SPRINGER SA","2015",0
"37",6,"SPRINGER SA","2014",0
"38",6,"SPRINGER SA","2013",0
"39",6,"SPRINGER SA","2012",0
"40",6,"SPRINGER SA","2011",0
"41",6,"SPRINGER SA","2010",0
"42",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2017",0
"43",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2016",0
"44",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2015",0
"45",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014",1
"46",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013",1
"47",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012",1
"48",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011",0
"49",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010",0
"50",8,"BANCO DO ESTADO DE SERGIPE SA","2017",0
"51",8,"BANCO DO ESTADO DE SERGIPE SA","2016",0
"52",8,"BANCO DO ESTADO DE SERGIPE SA","2015",0
"53",8,"BANCO DO ESTADO DE SERGIPE SA","2014",0
"54",8,"BANCO DO ESTADO DE SERGIPE SA","2013",0
"55",8,"BANCO DO ESTADO DE SERGIPE SA","2012",0
"56",8,"BANCO DO ESTADO DE SERGIPE SA","2011",0
"57",8,"BANCO DO ESTADO DE SERGIPE SA","2010",0
"58",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2011",0
"59",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2010",0
"60",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2017",0
"61",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2016",0
"62",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2015",0
"63",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2014",0
"64",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2013",0
"65",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2012",0
"66",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2011",1
"67",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2010",0
"68",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2016",0
"69",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2015",1
"70",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2014",1
"71",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2013",1
"72",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2012",0
"73",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2011",0
"74",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2010",1
"75",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2017",0
"76",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2016",0
"77",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2015",0
"78",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2014",0
"79",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2013",0
"80",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2012",0
"81",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2011",0
"82",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2010",0
"83",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2017",0
"84",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2016",0
"85",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2015",0
"86",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2014",0
"87",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2013",0
"88",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2012",0
"89",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2011",0
"90",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2010",0
"91",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2017",0
"92",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2016",0
"93",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2015",0
"94",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2014",0
"95",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2013",0
"96",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2012",0
"97",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2011",0
"98",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2010",0
"99",15,"TELEMAR NORTE LESTE SA","2010",0
"100",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2017",1
"101",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2016",1
"102",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2015",1
"103",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2014",1
"104",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2013",1
"105",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2011",0
"106",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2010",0
"107",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2017",0
"108",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2016",0
"109",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2015",0
"110",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2014",0
"111",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2013",0
"112",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2012",0
"113",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2011",0
"114",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2010",0
"115",18,"UNIPAR CARBOCLORO S.A.","2017",0
"116",18,"UNIPAR CARBOCLORO S.A.","2016",0
"117",18,"UNIPAR CARBOCLORO S.A.","2015",0
"118",18,"UNIPAR CARBOCLORO S.A.","2014",0
"119",18,"UNIPAR CARBOCLORO S.A.","2013",0
"120",18,"UNIPAR CARBOCLORO S.A.","2012",1
"121",18,"UNIPAR CARBOCLORO S.A.","2011",0
"122",18,"UNIPAR CARBOCLORO S.A.","2010",0
"123",19,"BANCO DO ESTADO DO PARÁ S/A.","2017",0
"124",19,"BANCO DO ESTADO DO PARÁ S/A.","2016",0
"125",19,"BANCO DO ESTADO DO PARÁ S/A.","2015",0
"126",19,"BANCO DO ESTADO DO PARÁ S/A.","2014",0
"127",19,"BANCO DO ESTADO DO PARÁ S/A.","2013",0
"128",19,"BANCO DO ESTADO DO PARÁ S/A.","2012",0
"129",19,"BANCO DO ESTADO DO PARÁ S/A.","2011",0
"130",19,"BANCO DO ESTADO DO PARÁ S/A.","2010",0
"131",20,"VULCABRAS|AZALEIA S.A.","2017",0
"132",20,"VULCABRAS|AZALEIA S.A.","2016",0
"133",20,"VULCABRAS|AZALEIA S.A.","2015",0
"134",20,"VULCABRAS|AZALEIA S.A.","2014",0
"135",20,"VULCABRAS|AZALEIA S.A.","2013",0
"136",20,"VULCABRAS|AZALEIA S.A.","2012",0
"137",20,"VULCABRAS|AZALEIA S.A.","2011",1
"138",20,"VULCABRAS|AZALEIA S.A.","2010",1
"139",21,"WEMBLEY SOCIEDADE ANÔNIMA","2015",1
"140",21,"WEMBLEY SOCIEDADE ANÔNIMA","2014",1
"141",21,"WEMBLEY SOCIEDADE ANÔNIMA","2013",1
"142",21,"WEMBLEY SOCIEDADE ANÔNIMA","2012",1
"143",21,"WEMBLEY SOCIEDADE ANÔNIMA","2011",1
"144",21,"WEMBLEY SOCIEDADE ANÔNIMA","2010",1
"145",22,"IOCHPE-MAXION SA","2017",0
"146",22,"IOCHPE-MAXION SA","2016",0
"147",22,"IOCHPE-MAXION SA","2015",0
"148",22,"IOCHPE-MAXION SA","2014",0
"149",22,"IOCHPE-MAXION SA","2013",0
"150",22,"IOCHPE-MAXION SA","2012",0
"151",22,"IOCHPE-MAXION SA","2011",0
"152",22,"IOCHPE-MAXION SA","2010",0
"153",23,"AZEVEDO & TRAVASSOS SA","2017",0
"154",23,"AZEVEDO & TRAVASSOS SA","2016",0
"155",23,"AZEVEDO & TRAVASSOS SA","2015",0
"156",23,"AZEVEDO & TRAVASSOS SA","2014",0
"157",23,"AZEVEDO & TRAVASSOS SA","2013",0
"158",23,"AZEVEDO & TRAVASSOS SA","2012",0
"159",23,"AZEVEDO & TRAVASSOS SA","2011",0
"160",23,"AZEVEDO & TRAVASSOS SA","2010",0
"161",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2017",1
"162",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2014",1
"163",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2013",1
"164",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2012",1
"165",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2011",0
"166",24,"WETZEL S.A. EM RECUPERAÇÃO JUDICIAL","2010",1
"167",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2017",0
"168",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2016",0
"169",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2015",0
"170",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2014",0
"171",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2013",0
"172",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2012",0
"173",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2011",0
"174",25,"BANCO DO ESTADO DO RIO GRANDE DO SUL SA","2010",0
"175",26,"BOMBRIL SA","2017",0
"176",26,"BOMBRIL SA","2016",0
"177",26,"BOMBRIL SA","2015",0
"178",26,"BOMBRIL SA","2014",0
"179",26,"BOMBRIL SA","2013",0
"180",26,"BOMBRIL SA","2012",0
"181",26,"BOMBRIL SA","2011",0
"182",26,"BOMBRIL SA","2010",0
"183",27,"COSTA PINTO S.A.","2012",1
"184",27,"COSTA PINTO S.A.","2011",1
"185",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2016",0
"186",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2015",0
"187",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2014",0
"188",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2013",0
"189",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2012",1
"190",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2011",0
"191",28,"JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.","2010",0
"192",29,"BANCO DO NORDESTE DO BRASIL SA","2017",0
"193",29,"BANCO DO NORDESTE DO BRASIL SA","2016",0
"194",29,"BANCO DO NORDESTE DO BRASIL SA","2015",0
"195",29,"BANCO DO NORDESTE DO BRASIL SA","2014",0
"196",29,"BANCO DO NORDESTE DO BRASIL SA","2013",0
"197",29,"BANCO DO NORDESTE DO BRASIL SA","2012",0
"198",29,"BANCO DO NORDESTE DO BRASIL SA","2011",0
"199",29,"BANCO DO NORDESTE DO BRASIL SA","2010",0
"200",30,"INDS J B DUARTE SA","2017",1
"201",30,"INDS J B DUARTE SA","2016",1
"202",30,"INDS J B DUARTE SA","2015",1
"203",30,"INDS J B DUARTE SA","2014",1
"204",30,"INDS J B DUARTE SA","2013",1
