"","Codigo","Companhia","Ano","Management.Council","Statutory.Directors","Fiscal.Council"
"72",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2011",0,0,0
"73",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2010",0,22.77,0
"74",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2017",0,0,0
"75",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2016",0,0,0
"76",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2015",0,0,0
"77",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2014",0,0,0
"78",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2013",0,0,0
"79",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2012",0,0,0
"80",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2011",0,0,0
"81",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2010",0,51.78,0
"82",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2017",0,47.19,0
"83",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2016",0,36.52,0
"84",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2015",0,60.67,0
"85",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2014",0,42.43,0
"86",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2013",0,0,0
"87",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2012",0,45.24,0
"88",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2011",0,19.49,0
"89",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2010",0,50.73,0
"90",15,"TELEMAR NORTE LESTE SA","2010",0,0,0
"91",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2017",12.29,5.9,0
"92",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2017",11.19,4.9,0
"93",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2016",12.65,5.06,0
"94",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2015",10.84,4.91,0
"95",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2014",7.44,2.94,0
"96",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2013",8.26,3.07,0
"97",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2012",0,0,0
"98",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2011",0,0,0
"99",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2010",0,52.63,0
"100",18,"UNIPAR CARBOCLORO S.A.","2017",0,51.68,0
"101",18,"UNIPAR CARBOCLORO S.A.","2016",0,45.26,0
"102",18,"UNIPAR CARBOCLORO S.A.","2015",0,40.34,0
"103",18,"UNIPAR CARBOCLORO S.A.","2014",0,48.46,0
"104",18,"UNIPAR CARBOCLORO S.A.","2013",0,0,0
"105",18,"UNIPAR CARBOCLORO S.A.","2012",0,0,0
"106",18,"UNIPAR CARBOCLORO S.A.","2011",0,0,0
"107",18,"UNIPAR CARBOCLORO S.A.","2010",0,13.4,0
