"","Codigo","Companhia","Ano","Porcentagem.Conselheiros"
"90",48,"PBG S/A","2011",NA
"91",48,"PBG S/A","2010",NA
"92",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2017",NA
"93",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2016",3
"94",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2015",3
"95",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2014",5
"96",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2013",0
"97",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2012",NA
"98",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2011",NA
"99",49,"SÃO CARLOS EMPREENDS E PARTICIPAÇÕES S.A","2010",NA
"100",50,"BANCO ALFA DE INVESTIMENTO SA","2010",NA
"101",52,"SUZANO PAPEL E CELULOSE SA","2017",NA
"102",52,"SUZANO PAPEL E CELULOSE SA","2016",2.75
"103",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2017",NA
"104",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2016",0.2
"105",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2015",0
"106",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2014",0
"107",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2013",0
"108",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2012",NA
"109",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2011",NA
"110",58,"ELETROPAULO METROPOLITANA EL.S.PAULO S.A","2010",NA
"111",59,"BRB-BANCO DE BRASILIA SA","2017",NA
"112",62,"COMPANHIA PARANAENSE DE ENERGIA","2017",NA
"113",62,"COMPANHIA PARANAENSE DE ENERGIA","2016",0
"114",62,"COMPANHIA PARANAENSE DE ENERGIA","2015",0
"115",62,"COMPANHIA PARANAENSE DE ENERGIA","2014",0
"116",62,"COMPANHIA PARANAENSE DE ENERGIA","2013",0
"117",62,"COMPANHIA PARANAENSE DE ENERGIA","2012",NA
"118",62,"COMPANHIA PARANAENSE DE ENERGIA","2011",NA
"119",62,"COMPANHIA PARANAENSE DE ENERGIA","2010",NA
"120",63,"USINAS SIDERURGICAS DE MINAS GERAIS SA","2017",NA
"121",63,"USINAS SIDERURGICAS DE MINAS GERAIS SA","2016",0.666666666666667
"122",63,"USINAS SIDERURGICAS DE MINAS GERAIS SA","2015",0
"123",64,"WHIRLPOOL S.A","2017",NA
"124",64,"WHIRLPOOL S.A","2016",7
"125",64,"WHIRLPOOL S.A","2015",0
"126",65,"CIA ENERGÉTICA DE PERNAMBUCO - CELPE","2014",NA
"127",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2017",NA
"128",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2016",3
"129",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2015",3
"130",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2014",2.4
"131",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2013",0
"132",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2012",NA
"133",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2011",NA
"134",67,"CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO","2010",NA
"135",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2017",NA
"136",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2016",3.5
"137",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2015",2
"138",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2014",3
"139",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2013",0
"140",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2012",NA
"141",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2011",NA
"142",69,"CYRELA BRAZIL REALTY SA EMPRS E PARTS","2010",NA
"143",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2017",NA
"144",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2016",2
"145",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2015",2
"146",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2014",1.66666666666667
"147",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2013",0
"148",75,"NET SERVIÇOS DE COMUNICAÇÃO S.A.","2011",NA
"149",75,"NET SERVIÇOS DE COMUNICAÇÃO S.A.","2010",NA
"150",78,"CIA HERING","2017",NA
"151",78,"CIA HERING","2016",2.8
"152",78,"CIA HERING","2015",0
"153",78,"CIA HERING","2014",3.2
"154",78,"CIA HERING","2013",0
"155",78,"CIA HERING","2012",NA
"156",78,"CIA HERING","2011",NA
"157",78,"CIA HERING","2010",NA
"158",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2017",NA
"159",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2016",3.33333333333333
"160",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2015",3.33333333333333
"161",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2014",2.5
"162",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2013",0
"163",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2012",NA
"164",83,"CIA ENERG CEARA - COELCE","2015",NA
"165",83,"CIA ENERG CEARA - COELCE","2014",0
"166",83,"CIA ENERG CEARA - COELCE","2013",0
"167",83,"CIA ENERG CEARA - COELCE","2012",NA
"168",83,"CIA ENERG CEARA - COELCE","2011",NA
"169",90,"ENERGISA SA","2017",NA
"170",90,"ENERGISA SA","2016",3.5
"171",90,"ENERGISA SA","2015",0
"172",90,"ENERGISA SA","2014",4
"173",90,"ENERGISA SA","2013",0
"174",90,"ENERGISA SA","2012",NA
"175",90,"ENERGISA SA","2011",NA
"176",90,"ENERGISA SA","2010",NA
"177",100,"NEOENERGIA S.A","2016",NA
"178",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2015",NA
"179",106,"SHOPPING CENTER TACARUNA SA","2017",NA
"180",106,"SHOPPING CENTER TACARUNA SA","2016",0
"181",106,"SHOPPING CENTER TACARUNA SA","2015",0
"182",106,"SHOPPING CENTER TACARUNA SA","2014",0
"183",106,"SHOPPING CENTER TACARUNA SA","2013",NA
"184",106,"SHOPPING CENTER TACARUNA SA","2012",NA
"185",106,"SHOPPING CENTER TACARUNA SA","2011",NA
"186",106,"SHOPPING CENTER TACARUNA SA","2010",NA
"187",109,"GAFISA SA","2017",NA
"188",109,"GAFISA SA","2016",0
"189",109,"GAFISA SA","2015",1.5
"190",109,"GAFISA SA","2014",3.5
"191",109,"GAFISA SA","2013",0
"192",109,"GAFISA SA","2012",NA
"193",109,"GAFISA SA","2011",NA
"194",109,"GAFISA SA","2010",NA
"195",115,"BRF S.A.","2017",NA
"196",115,"BRF S.A.","2016",0
"197",115,"BRF S.A.","2015",0.857142857142857
"198",115,"BRF S.A.","2014",2
"199",115,"BRF S.A.","2013",0
"200",115,"BRF S.A.","2012",NA
"201",115,"BRF S.A.","2011",NA
"202",115,"BRF S.A.","2010",NA
"203",116,"ROSSI RESIDENCIAL SA","2017",NA
"204",116,"ROSSI RESIDENCIAL SA","2016",0
"205",116,"ROSSI RESIDENCIAL SA","2015",3
"206",116,"ROSSI RESIDENCIAL SA","2014",1.5
"207",116,"ROSSI RESIDENCIAL SA","2013",0
"208",116,"ROSSI RESIDENCIAL SA","2012",NA
"209",116,"ROSSI RESIDENCIAL SA","2011",NA
"210",116,"ROSSI RESIDENCIAL SA","2010",NA
"211",118,"CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE","2017",NA
"212",118,"CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE","2016",0
"213",118,"CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE","2015",0
"214",118,"CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE","2014",0
"215",118,"CIA ESTADUAL DE ÁGUAS E ESGOTOS - CEDAE","2013",0
"216",119,"TAM S.A.","2010",NA
"217",129,"CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO","2017",NA
"218",129,"CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO","2016",2.25
"219",129,"CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO","2015",2.66666666666667
"220",131,"GPC PARTICIPACOES SA","2010",NA
"221",132,"PORTO SEGURO SA","2017",NA
"222",132,"PORTO SEGURO SA","2016",6
"223",132,"PORTO SEGURO SA","2015",6
"224",132,"PORTO SEGURO SA","2014",3.5
"225",132,"PORTO SEGURO SA","2013",0
"226",132,"PORTO SEGURO SA","2012",NA
"227",132,"PORTO SEGURO SA","2011",NA
"228",132,"PORTO SEGURO SA","2010",NA
"229",137,"PRÓ METALURGIA SA - EM LIQUIDAÇÃO EXTRAJUDICIAL","2011",NA
"230",137,"PRÓ METALURGIA SA - EM LIQUIDAÇÃO EXTRAJUDICIAL","2010",NA
"231",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2017",NA
"232",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2013",0
"233",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2012",NA
"234",138,"CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN","2011",NA
"235",143,"EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A","2017",NA
"236",143,"EMAE-EMP.METROPOLITANA ÁGUAS ENERGIA S.A","2016",0.5
"237",144,"ENGIE BRASIL ENERGIA S.A.","2017",NA
"238",144,"ENGIE BRASIL ENERGIA S.A.","2016",3
"239",144,"ENGIE BRASIL ENERGIA S.A.","2015",3.5
"240",144,"ENGIE BRASIL ENERGIA S.A.","2014",6
"241",144,"ENGIE BRASIL ENERGIA S.A.","2013",0
"242",144,"ENGIE BRASIL ENERGIA S.A.","2012",NA
"243",144,"ENGIE BRASIL ENERGIA S.A.","2011",NA
"244",151,"RUMO S.A.","2017",NA
"245",151,"RUMO S.A.","2016",0.75
"246",151,"RUMO S.A.","2015",0
"247",151,"RUMO S.A.","2012",1.33333333333333
"248",151,"RUMO S.A.","2011",NA
"249",151,"RUMO S.A.","2010",NA
"250",152,"ELEKTRO REDES S.A.","2017",NA
"251",152,"ELEKTRO REDES S.A.","2016",0
"252",152,"ELEKTRO REDES S.A.","2015",0
"253",152,"ELEKTRO REDES S.A.","2014",0
"254",152,"ELEKTRO REDES S.A.","2013",0
"255",152,"ELEKTRO REDES S.A.","2012",NA
"256",152,"ELEKTRO REDES S.A.","2011",NA
"257",158,"TIM PARTICIPAÇÕES SA","2017",NA
"258",158,"TIM PARTICIPAÇÕES SA","2016",3
"259",158,"TIM PARTICIPAÇÕES SA","2015",3
"260",158,"TIM PARTICIPAÇÕES SA","2014",12.5
"261",158,"TIM PARTICIPAÇÕES SA","2013",0
"262",158,"TIM PARTICIPAÇÕES SA","2012",NA
"263",158,"TIM PARTICIPAÇÕES SA","2011",NA
"264",158,"TIM PARTICIPAÇÕES SA","2010",NA
"265",161,"TELEFÔNICA BRASIL S.A.","2016",NA
"266",167,"SANTOS BRASIL PARTICIPAÇÕES S.A.","2017",NA
"267",167,"SANTOS BRASIL PARTICIPAÇÕES S.A.","2016",0.333333333333333
"268",167,"SANTOS BRASIL PARTICIPAÇÕES S.A.","2015",0.333333333333333
"269",167,"SANTOS BRASIL PARTICIPAÇÕES S.A.","2014",0.5
"270",167,"SANTOS BRASIL PARTICIPAÇÕES S.A.","2013",0
"271",167,"SANTOS BRASIL PARTICIPAÇÕES S.A.","2012",NA
"272",167,"SANTOS BRASIL PARTICIPAÇÕES S.A.","2011",NA
"273",167,"SANTOS BRASIL PARTICIPAÇÕES S.A.","2010",NA
"274",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2017",NA
"275",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2016",4
"276",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2015",4
"277",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2014",1
"278",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2013",0
"279",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2012",NA
"280",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2011",NA
"281",169,"MMX MINERAÇÃO E METÁLICOS S.A. - EM RECUPERAÇÃO JUDICIAL","2010",NA
"282",174,"KROTON EDUCACIONAL S.A.","2017",NA
"283",174,"KROTON EDUCACIONAL S.A.","2016",4
"284",174,"KROTON EDUCACIONAL S.A.","2015",4
"285",174,"KROTON EDUCACIONAL S.A.","2014",2.5
"286",174,"KROTON EDUCACIONAL S.A.","2013",0
"287",174,"KROTON EDUCACIONAL S.A.","2012",NA
"288",174,"KROTON EDUCACIONAL S.A.","2011",NA
"289",174,"KROTON EDUCACIONAL S.A.","2010",NA
"290",183,"CENTRAIS ELÉTRICAS DO PARÁ S.A. - CELPA","2010",NA
"291",185,"AES TIETE SA","2014",NA
"292",185,"AES TIETE SA","2012",NA
"293",185,"AES TIETE SA","2011",NA
"294",185,"AES TIETE SA","2010",NA
"295",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2017",NA
"296",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2016",0
"297",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2015",1
"298",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2014",0.5
"299",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2013",0
"300",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2012",NA
"301",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2011",NA
"302",187,"CTEEP-CIA TRANSM ENERGIA ELÉTR. PAULISTA","2010",NA
"303",189,"IDEIASNET SA","2017",NA
"304",189,"IDEIASNET SA","2016",4.25
"305",189,"IDEIASNET SA","2015",4.25
"306",189,"IDEIASNET SA","2014",2.66666666666667
"307",189,"IDEIASNET SA","2013",0
"308",189,"IDEIASNET SA","2011",NA
"309",189,"IDEIASNET SA","2010",NA
"310",191,"ULTRAPAR PARTICIPAÇÕES SA","2017",NA
"311",191,"ULTRAPAR PARTICIPAÇÕES SA","2016",5.5
"312",191,"ULTRAPAR PARTICIPAÇÕES SA","2015",5.5
"313",191,"ULTRAPAR PARTICIPAÇÕES SA","2014",5.5
"314",191,"ULTRAPAR PARTICIPAÇÕES SA","2013",0
"315",191,"ULTRAPAR PARTICIPAÇÕES SA","2012",NA
"316",191,"ULTRAPAR PARTICIPAÇÕES SA","2011",NA
"317",191,"ULTRAPAR PARTICIPAÇÕES SA","2010",NA
"318",194,"COMPANHIA DE ÁGUA E ESGOTO DO CEARÁ","2017",NA
"319",197,"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR","2017",NA
"320",197,"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR","2016",0
"321",197,"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR","2015",0
"322",200,"CPFL ENERGIA SA","2017",NA
"323",200,"CPFL ENERGIA SA","2016",2.5
"324",200,"CPFL ENERGIA SA","2015",2.5
"325",200,"CPFL ENERGIA SA","2014",0.5
"326",200,"CPFL ENERGIA SA","2012",0
"327",200,"CPFL ENERGIA SA","2011",NA
"328",200,"CPFL ENERGIA SA","2010",NA
"329",204,"BRADESPAR S/A","2017",NA
"330",204,"BRADESPAR S/A","2016",0
"331",204,"BRADESPAR S/A","2015",2
"332",204,"BRADESPAR S/A","2014",0
"333",207,"CCR S.A.","2017",NA
"334",207,"CCR S.A.","2016",2.66666666666667
"335",207,"CCR S.A.","2015",2
"336",207,"CCR S.A.","2014",3
"337",207,"CCR S.A.","2013",0
"338",207,"CCR S.A.","2012",NA
"339",207,"CCR S.A.","2011",NA
"340",207,"CCR S.A.","2010",NA
"341",210,"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.","2013",NA
"342",210,"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.","2012",NA
"343",210,"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.","2011",NA
"344",210,"ANHANGUERA EDUCACIONAL PARTICIPAÇÕES S.A.","2010",NA
"345",211,"AES TIETÊ ENERGIA S.A","2017",NA
"346",211,"AES TIETÊ ENERGIA S.A","2016",1
"347",211,"AES TIETÊ ENERGIA S.A","2015",1
"348",211,"AES TIETÊ ENERGIA S.A","2014",0.5
"349",213,"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A","2017",NA
"350",213,"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A","2016",4
"351",213,"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A","2015",12
"352",213,"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A","2014",12
"353",213,"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A","2013",0
"354",213,"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A","2012",NA
"355",213,"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A","2011",NA
"356",213,"ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S/A","2010",NA
"357",216,"ANDRADE GUTIERREZ PARTICIPAÇÕES SA","2014",NA
"358",216,"ANDRADE GUTIERREZ PARTICIPAÇÕES SA","2013",NA
"359",216,"ANDRADE GUTIERREZ PARTICIPAÇÕES SA","2012",NA
"360",216,"ANDRADE GUTIERREZ PARTICIPAÇÕES SA","2011",NA
"361",216,"ANDRADE GUTIERREZ PARTICIPAÇÕES SA","2010",NA
"362",220,"LIQ PARTICIPAÇÕES S.A.","2017",NA
"363",220,"LIQ PARTICIPAÇÕES S.A.","2016",0.142857142857143
"364",220,"LIQ PARTICIPAÇÕES S.A.","2015",0.142857142857143
"365",220,"LIQ PARTICIPAÇÕES S.A.","2014",0.75
"366",220,"LIQ PARTICIPAÇÕES S.A.","2013",0
"367",220,"LIQ PARTICIPAÇÕES S.A.","2012",NA
"368",220,"LIQ PARTICIPAÇÕES S.A.","2011",NA
"369",225,"SANEAMENTO DE GOIAS SA","2016",NA
"370",227,"CONCESSIONARIA RIO-TERESOPOLIS SA","2012",NA
"371",234,"BIOMM SA","2010",NA
"372",236,"TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.","2017",NA
"373",236,"TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.","2016",2.5
"374",236,"TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.","2014",0
"375",236,"TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.","2013",0
"376",236,"TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.","2012",NA
"377",236,"TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.","2011",NA
"378",236,"TPI - TRIUNFO PARTICIPACOES E INVESTIMENTOS S.A.","2010",NA
"379",244,"COMPANHIA DE SANEAMENTO DE MINAS GERAIS","2017",NA
"380",244,"COMPANHIA DE SANEAMENTO DE MINAS GERAIS","2016",3.5
"381",244,"COMPANHIA DE SANEAMENTO DE MINAS GERAIS","2015",3.5
"382",244,"COMPANHIA DE SANEAMENTO DE MINAS GERAIS","2014",1.5
"383",244,"COMPANHIA DE SANEAMENTO DE MINAS GERAIS","2013",0
"384",244,"COMPANHIA DE SANEAMENTO DE MINAS GERAIS","2012",NA
"385",244,"COMPANHIA DE SANEAMENTO DE MINAS GERAIS","2011",NA
"386",244,"COMPANHIA DE SANEAMENTO DE MINAS GERAIS","2010",NA
"387",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2017",NA
"388",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2016",1
"389",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2015",0
"390",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2014",0.666666666666667
"391",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2013",0
"392",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2012",NA
"393",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2011",NA
"394",245,"ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.","2010",NA
"395",249,"NATURA COSMETICOS SA","2017",NA
"396",249,"NATURA COSMETICOS SA","2016",1.6
"397",249,"NATURA COSMETICOS SA","2015",0
"398",249,"NATURA COSMETICOS SA","2014",1.66666666666667
"399",249,"NATURA COSMETICOS SA","2013",0
"400",249,"NATURA COSMETICOS SA","2012",NA
"401",249,"NATURA COSMETICOS SA","2011",NA
"402",249,"NATURA COSMETICOS SA","2010",NA
"403",250,"GOL LINHAS AEREAS INTELIGENTES SA","2017",NA
"404",250,"GOL LINHAS AEREAS INTELIGENTES SA","2016",4.75
"405",250,"GOL LINHAS AEREAS INTELIGENTES SA","2015",4.75
"406",250,"GOL LINHAS AEREAS INTELIGENTES SA","2014",1
"407",250,"GOL LINHAS AEREAS INTELIGENTES SA","2013",0
"408",250,"GOL LINHAS AEREAS INTELIGENTES SA","2012",NA
"409",250,"GOL LINHAS AEREAS INTELIGENTES SA","2011",NA
"410",250,"GOL LINHAS AEREAS INTELIGENTES SA","2010",NA
"411",255,"GRENDENE SA","2017",NA
"412",255,"GRENDENE SA","2016",7
