"","Código","Companhia","Ano","Dummy"
"81",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2017",0
"82",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2016",0
"83",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2015",0
"84",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2014",0
"85",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2013",0
"86",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2012",0
"87",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2011",0
"88",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2010",0
"89",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2017",0
"90",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2016",0
"91",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2015",0
"92",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2014",0
"93",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2013",0
"94",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2012",0
"95",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2011",0
"96",13,"TELEC. BRASILEIRAS S.A. - TELEBRÁS","2010",0
"97",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2017",0
"98",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2016",0
"99",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2015",0
"100",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2014",0
"101",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2013",0
"102",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2012",0
"103",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2011",0
"104",14,"OI S.A. - EM RECUPERAÇÃO JUDICIAL","2010",0
"105",15,"TELEMAR NORTE LESTE SA","2011",0
"106",15,"TELEMAR NORTE LESTE SA","2010",0
"107",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2017",0
"108",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2016",0
"109",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2015",0
"110",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2014",0
"111",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2013",0
"112",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2012",0
"113",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2011",0
"114",16,"CRISTAL PIGMENTOS DO BRASIL S.A.","2010",0
"115",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2017",0
"116",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2016",0
"117",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2015",0
"118",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2014",0
"119",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2013",0
"120",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2012",0
"121",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2011",0
"122",17,"BANESTES SA BANCO DO ESTADO DO ESPIRITO SANTO","2010",0
"123",18,"UNIPAR CARBOCLORO S.A.","2017",0
"124",18,"UNIPAR CARBOCLORO S.A.","2016",0
"125",18,"UNIPAR CARBOCLORO S.A.","2015",0
"126",18,"UNIPAR CARBOCLORO S.A.","2014",0
"127",18,"UNIPAR CARBOCLORO S.A.","2013",0
"128",18,"UNIPAR CARBOCLORO S.A.","2012",0
"129",18,"UNIPAR CARBOCLORO S.A.","2011",0
"130",18,"UNIPAR CARBOCLORO S.A.","2010",0
"131",19,"BANCO DO ESTADO DO PARÁ S/A.","2017",0
"132",19,"BANCO DO ESTADO DO PARÁ S/A.","2016",0
"133",19,"BANCO DO ESTADO DO PARÁ S/A.","2015",0
"134",19,"BANCO DO ESTADO DO PARÁ S/A.","2014",0
"135",19,"BANCO DO ESTADO DO PARÁ S/A.","2013",0
"136",19,"BANCO DO ESTADO DO PARÁ S/A.","2012",0
"137",19,"BANCO DO ESTADO DO PARÁ S/A.","2011",0
"138",19,"BANCO DO ESTADO DO PARÁ S/A.","2010",0
"139",20,"VULCABRAS|AZALEIA S.A.","2017",1
"140",20,"VULCABRAS|AZALEIA S.A.","2016",1
"141",20,"VULCABRAS|AZALEIA S.A.","2015",0
"142",20,"VULCABRAS|AZALEIA S.A.","2014",0
"143",20,"VULCABRAS|AZALEIA S.A.","2013",0
"144",20,"VULCABRAS|AZALEIA S.A.","2012",0
"145",20,"VULCABRAS|AZALEIA S.A.","2011",0
"146",20,"VULCABRAS|AZALEIA S.A.","2010",0
"147",21,"WEMBLEY SOCIEDADE ANÔNIMA","2015",0
"148",21,"WEMBLEY SOCIEDADE ANÔNIMA","2014",0
"149",21,"WEMBLEY SOCIEDADE ANÔNIMA","2013",0
"150",21,"WEMBLEY SOCIEDADE ANÔNIMA","2012",0
"151",21,"WEMBLEY SOCIEDADE ANÔNIMA","2011",0
"152",21,"WEMBLEY SOCIEDADE ANÔNIMA","2010",0
"153",22,"IOCHPE-MAXION SA","2017",1
"154",22,"IOCHPE-MAXION SA","2016",1
"155",22,"IOCHPE-MAXION SA","2015",1
"156",22,"IOCHPE-MAXION SA","2014",1
"157",22,"IOCHPE-MAXION SA","2013",1
"158",22,"IOCHPE-MAXION SA","2012",1
"159",22,"IOCHPE-MAXION SA","2011",1
"160",22,"IOCHPE-MAXION SA","2010",0
