"","Código","Companhia","Ano","NIV","Management.Council","Statutory.Directors","Fiscal.Council","APC","RM","RMRANKIT","POEDIRECTOR","PO","AMDIRECTOR","AM","SIZE"
"509",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2015",0,0,9.7,11.7,0,591051.01,370,"",0,"834",3,16.7333992290394
"510",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2014",0,0,22.34,0,0,725321.56,116,"",0,"",0,16.7387604143569
"511",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2013",0,0,25.36,0,0,898503.33,329,"",0,"",0,15.5251521122093
"512",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2012",0,0,0,0,0,915749.01,359,"",0,"",0,15.4367531205423
"513",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2011",0,0,0,0,0,546382.85,317,"",0,"162",2,15.2644047653304
"514",73,"ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.","2010",0,0,0,0,0,370952.38,86,"",0,"162",2,15.1059067164283
"515",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2017",0,0,0,0,0,37440,73,"",1,"396",3,NA
"516",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2016",0,0,0,0,0,5500,272,"",1,"396",3,NA
"517",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2015",0,0,0,0,0,5500,271,"",1,"396",3,NA
"518",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2014",0,0,0,0,0,724,220,"",1,"",0,NA
"519",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2013",0,0,67.1,0,0,678,218,"",1,"",0,NA
"520",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2012",0,0,68.82,0,501,4000,263,"",1,"",0,NA
"521",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2011",0,0,67.23,0,1499,4000,262,"",1,"",0,NA
"522",74,"NEUMARKT TRADE AND FINANCIAL CENTER S/A","2010",0,0,0,0,1500,4000,261,"",1,"",0,NA
"523",75,"NET SERVIÇOS DE COMUNICAÇÃO S.A.","2013",0,0,50,0,0,3137001.07,302,"",0,"445",2,16.3670232775373
"524",75,"NET SERVIÇOS DE COMUNICAÇÃO S.A.","2012",0,0,46.22,0,0,3051996.75,277,"",0,"445",2,16.0937189384663
"525",75,"NET SERVIÇOS DE COMUNICAÇÃO S.A.","2011",0,0,50,0,0,3211666.67,319,"",0,"444",2,16.000988299476
"526",75,"NET SERVIÇOS DE COMUNICAÇÃO S.A.","2010",0,0,50,0,0,981818,430,"",0,"444",2,15.9604172226036
"527",76,"SCHULZ SA","2017",0,0,50,0,5091411,4272666.86,61,"102",0,"749",8,13.8901661658525
"528",76,"SCHULZ SA","2016",0,0,50,0,17268724,3644729.34,426,"102",0,"749",8,13.7498396625996
"529",76,"SCHULZ SA","2015",0,0,50,0,27451546,3846626.62,458,"102",0,"749",8,13.8194617417466
"530",76,"SCHULZ SA","2014",0,0,0,0,20060135,3702700.86,435,"102",0,"749",8,13.8275211412767
"531",76,"SCHULZ SA","2013",0,0,29.98,0,27802124,3394490.15,363,"102",0,"749",8,13.7719170179242
"532",76,"SCHULZ SA","2012",0,0,0,0,22313190,3143632.98,304,"102",0,"749",8,13.6647167375746
"533",76,"SCHULZ SA","2011",0,0,0,0,22313190,2919372.15,235,"102",1,"749",8,13.6297988611339
"534",76,"SCHULZ SA","2010",0,0,0,0,22313190,80136.26,147,"102",1,"749",8,13.4597708908035
"535",77,"PARCOM PARTICIPACOES SA","2012",0,0,0,0,0,0,0,"",0,"",0,0
"536",77,"PARCOM PARTICIPACOES SA","2011",0,0,0,0,0,0,0,"",0,"987",2,0
"537",77,"PARCOM PARTICIPACOES SA","2010",0,0,0,0,0,0,0,"",0,"987",2,0
"538",78,"CIA HERING","2017",1,0,17.47,0,11768370,3489508.4,394,"",0,"269",8,14.2460974548462
"539",78,"CIA HERING","2016",1,0,0,0,11768370,2604878.89,124,"",0,"269",8,14.2399223716165
"540",78,"CIA HERING","2015",1,0,31.85,0,11768370,2580578.67,117,"",0,"269",8,14.2024667615559
"541",78,"CIA HERING","2014",1,0,29.71,0,11768370,2538308.57,92,"",0,"269",8,14.1746098607687
"542",78,"CIA HERING","2013",1,0,0,0,28149729,2625733,131,"",0,"269",8,14.0770729625665
"543",78,"CIA HERING","2012",1,0,0,0,11768370,1803749.23,161,"",0,"269",8,13.9830010089443
"544",78,"CIA HERING","2011",1,0,30.5,0,11768370,2300761.15,430,"",0,"269",8,13.918090611718
"545",78,"CIA HERING","2010",0,18.94,23.73,0,11768370,1974448.97,269,"",0,"269",8,13.7020092177533
"546",79,"FORPART S.A. - EM LIQUIDAÇÃO","2012",0,0,0,0,0,0,0,"",0,"986",2,14.7236961316067
"547",79,"FORPART S.A. - EM LIQUIDAÇÃO","2011",0,0,0,0,0,0,0,"",0,"986",2,14.7891101145883
"548",79,"FORPART S.A. - EM LIQUIDAÇÃO","2010",0,0,0,0,0,0,0,"",1,"",0,14.1365478578838
"549",80,"CIMS SA","2017",0,0,0,0,0,0,0,"",0,"",0,5.18522705282827
"550",80,"CIMS SA","2016",0,0,0,0,0,0,0,"",0,"",0,5.1127164384892
"551",80,"CIMS SA","2015",0,0,0,0,0,0,0,"",0,"",0,2.03653404066856
"552",80,"CIMS SA","2014",0,0,0,0,0,0,0,"",1,"",0,5.01072195700758
"553",80,"CIMS SA","2013",0,0,0,0,0,0,0,"",1,"",0,2.61783369316363
"554",80,"CIMS SA","2012",0,0,25.68,0,0,8814,317,"",1,"",0,5.03852279758315
"555",80,"CIMS SA","2011",0,0,25.07,0,1,4043,264,"",0,"",0,5.19436141957718
"556",80,"CIMS SA","2010",0,0,0,0,3,0,0,"",0,"",0,-0.404965233066513
"557",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2017",0,0,38,0,0,13612754.34,423,"",0,"804",1,0
"558",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2016",0,0,27.59,0,0,10784687.33,398,"",0,"892",4,0
"559",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2015",0,0,43.84,0,0,8037826.59,332,"",0,"892",4,0
"560",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2014",0,0,44.52,0,0,12212058.38,415,"",0,"892",4,0
"561",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2013",0,0,0,0,0,6692219.6,281,"",0,"892",4,0
"562",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2012",0,0,0,0,0,6735982.41,284,"",0,"254",3,0
"563",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2011",0,0,0,0,1,5209927.16,175,"",0,"254",3,0
"564",81,"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","2010",0,0,0,0,101,5523611.45,200,"",0,"254",3,0
"565",82,"HAUSCENTER SA","2017",0,0,0,0,1,11280,353,"",0,"",0,0
"566",82,"HAUSCENTER SA","2016",0,0,0,0,2325,10800,347,"",0,"",0,0
"567",82,"HAUSCENTER SA","2015",0,0,0,0,2325,9600,333,"",0,"",0,0
"568",82,"HAUSCENTER SA","2014",0,0,34.94,0,2327,8760,316,"",0,"",0,0
"569",82,"HAUSCENTER SA","2013",0,0,26.41,0,2327,8400,310,"",0,"",0,0
"570",82,"HAUSCENTER SA","2012",0,0,47.59,0,2327,8120,305,"",0,"",0,0
"571",82,"HAUSCENTER SA","2011",0,0,40.42,0,2327,10800,346,"",0,"",0,0
"572",82,"HAUSCENTER SA","2010",0,0,25.65,0,4630,6120,278,"",0,"",0,0
"573",83,"CIA ENERG CEARA - COELCE","2017",0,0,28.68,0,0,775395.93,176,"",0,"873",2,15.5559886625582
"574",83,"CIA ENERG CEARA - COELCE","2016",0,0,28.58,0,0,815327.64,219,"",0,"873",2,15.4096043491763
"575",83,"CIA ENERG CEARA - COELCE","2015",0,0,35.24,0,0,1212202.35,196,"",0,"1",6,15.3436776756011
"576",83,"CIA ENERG CEARA - COELCE","2014",0,0,0,0,1003692,1075951.1,78,"",0,"1",6,15.2088155371732
"577",83,"CIA ENERG CEARA - COELCE","2013",0,0,0,0,0,1011820.45,6,"",0,"1",6,15.0307576677872
"578",83,"CIA ENERG CEARA - COELCE","2012",0,0,0,0,0,1011643.58,5,"",0,"1",6,15.0854081720855
"579",83,"CIA ENERG CEARA - COELCE","2011",0,0,0,0,0,799182.98,193,"",0,"1",6,15.0253564817106
"580",83,"CIA ENERG CEARA - COELCE","2010",0,0,45.27,0,0,852080.28,267,"",0,"1",6,14.939118827836
"581",84,"GTD PARTICIPACOES SA","2014",0,0,0,0,0,0,0,"",0,"",0,10.001294612539
"582",84,"GTD PARTICIPACOES SA","2013",0,0,38.1,0,0,6000,276,"",0,"",0,9.426741242423
"583",84,"GTD PARTICIPACOES SA","2012",0,0,41.91,0,0,10000,341,"",0,"146",3,9.99629460212233
"584",84,"GTD PARTICIPACOES SA","2011",0,0,38.16,0,0,18000,423,"",0,"146",3,9.9802170853948
"585",84,"GTD PARTICIPACOES SA","2010",0,0,41.39,0,0,18000,422,"",0,"146",3,9.8619882453581
"586",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2017",0,0,41.39,0,0,2798033.46,191,"",0,"494",2,0
"587",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2016",0,0,17.84,0,0,3118683.86,294,"",0,"494",2,0
"588",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2015",0,0,17.84,0,0,3465210.64,388,"",0,"837",5,0
"589",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2014",0,0,25.22,0,0,2580603.35,118,"",0,"837",5,0
"590",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2013",0,0,0,0,0,2561507.65,103,"",0,"837",5,0
"591",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2012",0,0,0,0,0,2561507.65,102,"",0,"837",5,0
"592",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2011",0,0,0,0,0,3460925,385,"",0,"837",5,0
"593",85,"SANTHER FAB.DE PAPEL SANTA THEREZINHA SA","2010",0,0,0,0,0,3460925,384,"",0,"809",1,0
"594",86,"DIXIE TOGA SA","2010",0,0,0,0,0,636567.25,434,"",0,"722",1,14.2060244516192
"595",87,"LITEL PARTICIPACOES SA","2017",0,0,0,0,0,12000,363,"",0,"831",1,17.3178514963981
"596",87,"LITEL PARTICIPACOES SA","2016",0,0,0,0,0,15000,400,"",0,"352",3,17.1778296451745
"597",87,"LITEL PARTICIPACOES SA","2015",0,0,0,0,0,15000,399,"",0,"352",3,17.1831809040177
"598",87,"LITEL PARTICIPACOES SA","2014",0,0,0,0,0,15000,398,"",0,"352",3,17.2721691046949
"599",87,"LITEL PARTICIPACOES SA","2013",0,0,0,0,0,0,185,"",0,"199",3,17.2898154543466
"600",87,"LITEL PARTICIPACOES SA","2012",0,0,0,0,0,0,184,"",0,"199",3,17.2824865665149
"601",87,"LITEL PARTICIPACOES SA","2011",0,0,0,0,0,15000,397,"",0,"199",3,17.2087747549653
"602",87,"LITEL PARTICIPACOES SA","2010",0,0,0,0,0,15000,396,"",0,"848",1,17.6152061014939
"603",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2017",0,0,0,0,0,0,0,"",0,"754",4,0
"604",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2016",0,0,0,0,0,0,0,"",0,"754",4,0
"605",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2015",0,0,0,0,0,0,0,"",0,"754",4,0
"606",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2014",0,0,0,0,0,0,0,"",0,"754",4,0
"607",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2013",0,0,0,0,0,0,0,"",0,"454",4,0
"608",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2012",0,0,0,0,24,0,0,"",0,"454",4,0
"609",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2011",0,0,0,0,24,0,0,"",0,"454",4,0
"610",88,"CCB BRASIL ARRENDAMENTO MERCANTIL S/A","2010",0,0,0,0,24,0,0,"",0,"454",4,0
"611",89,"BARDELLA SA INDS MECANICAS","2017",0,0,0,0,1,1505833.33,426,"",0,"493",8,13.6388258840524
"612",89,"BARDELLA SA INDS MECANICAS","2016",0,0,0,0,231329,1470067.67,399,"",0,"493",8,13.7132984143113
"613",89,"BARDELLA SA INDS MECANICAS","2015",0,0,0,0,231329,1480013.37,404,"",0,"493",8,13.6386397189807
"614",89,"BARDELLA SA INDS MECANICAS","2014",0,4.26,55.05,0,231329,1774666.67,136,"",0,"493",8,13.5795818740405
"615",89,"BARDELLA SA INDS MECANICAS","2013",0,11.11,56.56,0,231329,1662666.67,82,"",0,"493",8,13.5408750083117
"616",89,"BARDELLA SA INDS MECANICAS","2012",0,10.84,35.9,0,232929,1107604.81,102,"",0,"493",8,13.5524300370464
"617",89,"BARDELLA SA INDS MECANICAS","2011",0,12.72,27.49,0,234698,1334000,288,"",0,"493",8,13.6358741928143
"618",89,"BARDELLA SA INDS MECANICAS","2010",0,15.88,54.48,0,235498,1328000,280,"",0,"493",8,13.7789046631918
"619",90,"ENERGISA SA","2017",0,10.09,25.47,0,3792143,731476.25,124,"",0,"855",8,0
"620",90,"ENERGISA SA","2016",0,13.72,32.92,0,3796100,151368.44,234,"",0,"855",8,0
"621",90,"ENERGISA SA","2015",0,21.67,36.58,0,15204195,120481.11,203,"",0,"855",8,0
"622",90,"ENERGISA SA","2014",0,0,20.07,0,0,107879.86,186,"",0,"855",8,0
"623",90,"ENERGISA SA","2013",0,0,12.2,0,0,103715.75,181,"",0,"855",8,0
"624",90,"ENERGISA SA","2012",0,0,21.67,0,4368045,68295.84,131,"",0,"855",8,0
"625",90,"ENERGISA SA","2011",0,0,22.06,0,4368045,66985.6,129,"",0,"855",8,0
"626",90,"ENERGISA SA","2010",0,0,29.33,0,4368045,49685.2,106,"",0,"855",8,0
"627",91,"SAUIPE SA","2016",0,0,41.11,0,0,1119525.68,117,"",0,"313",1,12.8095822764531
"628",91,"SAUIPE SA","2015",0,0,38.98,0,0,960040.14,408,"",0,"358",5,12.78719548975
"629",91,"SAUIPE SA","2014",0,0,54.74,0,0,1276007.24,240,"",0,"358",5,12.8058180740785
"630",91,"SAUIPE SA","2013",0,0,35.81,0,0,948436.43,396,"",0,"358",5,12.830638477059
"631",91,"SAUIPE SA","2012",0,0,41.52,0,0,916554.28,360,"",0,"358",5,10.4176874769411
"632",91,"SAUIPE SA","2011",0,0,0,0,0,1076285.67,79,"",0,"358",5,10.2937374948378
"633",91,"SAUIPE SA","2010",0,0,74.56,0,0,921535.58,365,"",0,"359",1,10.1142750816408
"634",92,"RUMO MALHA NORTE S.A.","2017",0,0,0,0,0,3197077.33,315,"",0,"509",5,0
"635",92,"RUMO MALHA NORTE S.A.","2016",0,0,0,0,0,1036000,25,"",0,"509",5,0
"636",92,"RUMO MALHA NORTE S.A.","2015",0,0,0,0,0,1500000,421,"",1,"509",5,0
"637",92,"RUMO MALHA NORTE S.A.","2014",0,0,19.64,0,0,250000,375,"",1,"509",5,0
"638",92,"RUMO MALHA NORTE S.A.","2013",0,0,19.05,0,0,1446801.7,380,"",1,"509",5,0
"639",92,"RUMO MALHA NORTE S.A.","2012",0,0,17.06,0,0,0,183,"",0,"795",3,0
"640",92,"RUMO MALHA NORTE S.A.","2011",0,0,19.63,0,0,7142.86,289,"",0,"795",3,0
"641",92,"RUMO MALHA NORTE S.A.","2010",0,0,20.73,0,0,0,182,"",0,"795",3,0
"642",93,"BOMBRIL HOLDING SA","2010",0,0,0,0,0,0,0,"",0,"",0,0
"643",94,"ESPIRITO SANTO CENTRAIS ELETRICAS SA","2017",0,0,22,0,0,570000,342,"",0,"698",5,0
"644",94,"ESPIRITO SANTO CENTRAIS ELETRICAS SA","2016",0,0,23.33,0,0,580000,358,"",0,"698",5,0
"645",94,"ESPIRITO SANTO CENTRAIS ELETRICAS SA","2015",0,0,21.04,0,0,495714.29,244,"",0,"698",5,0
"646",94,"ESPIRITO SANTO CENTRAIS ELETRICAS SA","2014",0,0,0,0,0,882500,303,"",0,"698",5,0
"647",94,"ESPIRITO SANTO CENTRAIS ELETRICAS SA","2013",0,0,0,0,0,650000,13,"",0,"698",5,0
"648",94,"ESPIRITO SANTO CENTRAIS ELETRICAS SA","2012",0,0,0,0,0,626041.83,415,"",0,"700",1,0
"649",94,"ESPIRITO SANTO CENTRAIS ELETRICAS SA","2011",0,0,0,0,0,724574.25,114,"",0,"706",2,0
"650",94,"ESPIRITO SANTO CENTRAIS ELETRICAS SA","2010",0,0,0,0,0,758289.6,155,"",0,"706",2,0
"651",95,"FERROVIA CENTRO ATLANTICA SA","2017",0,0,0,0,20,4449.6,268,"",0,"597",4,0
"652",95,"FERROVIA CENTRO ATLANTICA SA","2016",0,0,0,0,40992745,4408.8,267,"",0,"597",4,0
"653",95,"FERROVIA CENTRO ATLANTICA SA","2015",0,0,0,0,0,3072,243,"",1,"597",4,0
"654",95,"FERROVIA CENTRO ATLANTICA SA","2014",0,0,0,0,0,2255.4,230,"",1,"597",4,0
"655",95,"FERROVIA CENTRO ATLANTICA SA","2013",0,0,0,0,0,19869.7,8,"",1,"951",4,0
"656",95,"FERROVIA CENTRO ATLANTICA SA","2012",0,0,0,0,0,14269.09,385,"",1,"951",4,0
"657",95,"FERROVIA CENTRO ATLANTICA SA","2011",0,0,0,0,0,722.21,219,"",1,"951",4,0
"658",95,"FERROVIA CENTRO ATLANTICA SA","2010",0,0,34.65,0,0,14388,386,"",1,"951",4,0
"659",96,"HOPI HARI SA","2015",0,0,41.51,0,0,1153319.67,150,"",0,"536",3,0
"660",96,"HOPI HARI SA","2014",0,0,19.89,0,0,725046.67,115,"",0,"536",3,0
"661",96,"HOPI HARI SA","2013",0,0,19.89,0,0,575300.67,350,"",0,"536",3,0
"662",96,"HOPI HARI SA","2012",0,0,0.54,0,0,934424.9,380,"",0,"182",2,0
"663",96,"HOPI HARI SA","2011",0,0,0,0,0,1690397,100,"",0,"182",2,0
"664",96,"HOPI HARI SA","2010",0,0,0,0,0,1893292.52,228,"",0,"98",1,0
"665",97,"TERMINAIS PORT. DA PONTA DO FÉLIX S/A","2017",0,0,0,0,0,400853.62,127,"",0,"339",1,0
"666",97,"TERMINAIS PORT. DA PONTA DO FÉLIX S/A","2016",1,0,0,0,0,400853.62,126,"",0,"36",1,0
"667",97,"TERMINAIS PORT. DA PONTA DO FÉLIX S/A","2015",1,0,0,0,0,409094.17,138,"",1,"980",1,0
"668",97,"TERMINAIS PORT. DA PONTA DO FÉLIX S/A","2014",0,0,0,0,0,386457.45,104,"",1,"",0,0
"669",97,"TERMINAIS PORT. DA PONTA DO FÉLIX S/A","2013",0,0,0,0,0,384637.87,102,"",1,"",0,0
"670",97,"TERMINAIS PORT. DA PONTA DO FÉLIX S/A","2012",0,0,0,0,0,302323.02,1,"",1,"",0,0
"671",97,"TERMINAIS PORT. DA PONTA DO FÉLIX S/A","2011",0,0,0,0,0,302323.02,442,"",1,"",0,0
"672",97,"TERMINAIS PORT. DA PONTA DO FÉLIX S/A","2010",0,0,0,0,0,255891,386,"",0,"",0,0
"673",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2017",0,0,0,0,0,2,205,"",0,"44",3,0
"674",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2016",0,0,0,0,0,2,204,"",0,"44",3,0
"675",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2015",0,0,0,0,0,0,181,"",0,"44",3,0
"676",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2014",0,0,0,0,0,17376,419,"",1,"478",1,0
"677",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2013",0,0,0,0,0,18758,435,"",1,"101",4,0
"678",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2012",0,0,0,0,0,14928,389,"",1,"101",4,0
"679",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2011",0,0,0,0,38050526,13150.83,374,"",1,"101",4,0
"680",98,"ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.","2010",0,0,0,0,0,12240,366,"",1,"101",4,0
"681",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2017",0,0,17.73,0,0,568751.05,340,"",0,"",0,11.7784386126509
"682",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2016",0,0,11.54,0,125148,568751.05,339,"",0,"",0,12.55120725523
"683",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2015",0,0,0,0,0,1049385,39,"",0,"",0,12.0656317226999
"684",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2014",0,0,35.35,0,0,1007631.17,1,"",0,"",0,12.4962952381261
"685",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2013",0,0,40.4,0,0,908767.51,346,"",0,"",0,12.7714034998895
"686",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2012",0,0,44.28,0,0,886178.7,309,"",0,"",0,13.115008395717
"687",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2011",0,0,39.75,0,0,720589.99,108,"",0,"",0,13.2445686206713
"688",99,"BATTISTELLA ADM E PARTICIPAÇÕES S A","2010",0,0,34.49,0,0,860001.14,274,"",0,"",0,13.3015132430326
"689",100,"NEOENERGIA S.A","2017",0,0,25.18,0,0,3666979.05,427,"",0,"674",2,17.5559026336618
"690",100,"NEOENERGIA S.A","2016",0,0,25.75,0,0,1355699.3,305,"",0,"674",2,17.1465502471417
"691",100,"NEOENERGIA S.A","2015",0,0,34.25,0,0,1426894.67,360,"",0,"935",2,17.1250125917708
"692",100,"NEOENERGIA S.A","2014",0,0,0,0,0,1094444.66,93,"",0,"935",2,16.936017457833
"693",100,"NEOENERGIA S.A","2013",0,0,0,0,0,950334.75,398,"",0,"936",3,16.8339405287583
"694",100,"NEOENERGIA S.A","2012",0,0,0,0,0,900108.93,333,"",0,"936",3,16.9662945481471
"695",100,"NEOENERGIA S.A","2011",0,0,0,0,0,834825.43,244,"",0,"936",3,16.8898110988926
"696",100,"NEOENERGIA S.A","2010",0,0,0,0,0,636810.78,436,"",0,"613",1,16.790534179906
"697",101,"BAUMER SA","2017",0,0,0,0,4210,42657595,457,"",0,"",0,12.1053955897766
"698",101,"BAUMER SA","2016",0,0,54.38,0,2180950,377186.1,95,"",0,"",0,12.0476160418378
"699",101,"BAUMER SA","2015",0,0,49.21,0,2710240,333332.56,40,"",0,"",0,11.9942522446971
"700",101,"BAUMER SA","2014",0,0,61.71,0,2180950,303387.23,2,"",0,"",0,11.8269183522118
"701",101,"BAUMER SA","2013",0,0,49.3,0,2180950,429330.25,160,"",0,"",0,11.7328077039821
"702",101,"BAUMER SA","2012",0,0,43.86,0,2179950,428757,158,"",0,"",0,11.518052300262
"703",101,"BAUMER SA","2011",0,0,28.99,0,1923306,312500,12,"",0,"",0,11.3900004821329
"704",101,"BAUMER SA","2010",0,0,29.98,0,349036,321616.07,26,"",0,"",0,11.3688818693863
"705",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2017",0,0,28.14,0,0,3491515.46,395,"",0,"724",4,0
"706",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2016",0,0,26.14,0,0,3530473.43,403,"",0,"724",4,0
"707",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2015",0,0,0,0,0,5558799.88,205,"",0,"724",4,0
"708",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2014",0,0,0,0,0,3965710.17,11,"",0,"724",4,0
"709",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2013",0,0,0,0,0,2757508.24,178,"",0,"553",2,0
"710",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2012",0,0,0,0,0,1753350.78,123,"",0,"553",2,0
"711",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2011",0,0,0,0,0,1626062.76,53,"",0,"543",2,0
"712",102,"COMPANHIA DE GÁS DE SÃO PAULO - COMGÁS","2010",0,0,0,0,0,1425280.35,358,"",0,"543",2,0
"713",103,"GRUÇAI PARTICIPAÇÕES SA","2017",0,0,0,0,0,0,0,"",0,"",0,0
"714",103,"GRUÇAI PARTICIPAÇÕES SA","2016",0,0,0,0,0,0,0,"",0,"",0,0
"715",103,"GRUÇAI PARTICIPAÇÕES SA","2015",0,0,0,0,0,0,0,"",0,"203",1,0
"716",103,"GRUÇAI PARTICIPAÇÕES SA","2014",0,0,0,0,0,0,0,"",0,"227",1,0
"717",103,"GRUÇAI PARTICIPAÇÕES SA","2013",0,0,0,0,0,0,0,"",0,"",0,0
"718",103,"GRUÇAI PARTICIPAÇÕES SA","2012",0,0,0,0,0,0,0,"",0,"",0,0
"719",103,"GRUÇAI PARTICIPAÇÕES SA","2011",0,0,0,0,0,0,0,"",0,"",0,0
"720",103,"GRUÇAI PARTICIPAÇÕES SA","2010",0,0,0,0,1,0,0,"",0,"",0,0
"721",104,"EXCELSIOR ALIMENTOS SA.","2017",0,0,0,0,0,454976.17,192,"",0,"1003",2,11.303475230788
"722",104,"EXCELSIOR ALIMENTOS SA.","2016",0,0,49.14,0,0,0,180,"",0,"1003",2,11.1558075657985
"723",104,"EXCELSIOR ALIMENTOS SA.","2015",0,0,35.95,0,0,865166.67,282,"",0,"830",5,10.9136692758248
"724",104,"EXCELSIOR ALIMENTOS SA.","2014",0,0,0,0,2223,411666.67,140,"",0,"830",5,10.8054967875845
"725",104,"EXCELSIOR ALIMENTOS SA.","2013",0,0,0,0,0,506666.67,259,"",0,"830",5,10.6763235319974
"726",104,"EXCELSIOR ALIMENTOS SA.","2012",0,0,74.56,0,0,338333.33,53,"",0,"830",5,10.5872155111796
"727",104,"EXCELSIOR ALIMENTOS SA.","2011",0,0,0,0,0,334666.67,45,"",0,"830",5,10.5475232673148
"728",104,"EXCELSIOR ALIMENTOS SA.","2010",0,0,0,0,0,325000,32,"",0,"424",1,10.3242024558512
"729",105,"RUMO MALHA SUL S.A.","2017",0,0,0,0,0,1733379.41,120,"",1,"509",5,0
"730",105,"RUMO MALHA SUL S.A.","2016",0,0,0,0,0,1037378,27,"",1,"509",5,0
"731",105,"RUMO MALHA SUL S.A.","2015",0,0,0,0,0,1e+06,451,"",1,"509",5,0
"732",105,"RUMO MALHA SUL S.A.","2014",0,0,0,0,0,2e+05,297,"",1,"509",5,0
"733",105,"RUMO MALHA SUL S.A.","2013",0,0,0,0,0,874598.06,296,"",1,"509",5,0
"734",105,"RUMO MALHA SUL S.A.","2012",0,0,0,0,0,7142.86,288,"",0,"21",1,0
"735",105,"RUMO MALHA SUL S.A.","2011",0,0,0,0,0,7142.86,287,"",0,"237",1,0
"736",105,"RUMO MALHA SUL S.A.","2010",0,0,0,0,0,3000,242,"",0,"769",1,0
"737",106,"SHOPPING CENTER TACARUNA SA","2017",0,0,0,0,0,0,0,"",0,"",0,NA
"738",106,"SHOPPING CENTER TACARUNA SA","2016",0,0,0,0,0,0,0,"",0,"",0,NA
"739",106,"SHOPPING CENTER TACARUNA SA","2015",0,0,0,0,0,0,0,"",0,"",0,NA
"740",106,"SHOPPING CENTER TACARUNA SA","2014",0,0,0,0,0,0,0,"",0,"",0,NA
