"","Código","Companhia","Ano","NIV","Management.Council","Statutory.Directors","Fiscal.Council","APC","RM","RMRANKIT","POEDIRECTOR","PO","AMDIRECTOR","AM","SIZE"
"45",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2014",0,0,23.88,0,50135,2473246.6,58,"134",1,"1006",5,0
"46",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2013",0,0,20.12,0,24171,4536675.07,99,"134",1,"1006",5,0
"47",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2012",0,0,25.97,0,10027,4635309.18,119,"134",1,"1006",5,0
"48",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2011",0,0,26.36,0,10277,4400184.97,83,"134",0,"1006",5,0
"49",7,"WLM INDÚSTRIA E COMÉRCIO S.A.","2010",0,0,29.75,0,10327,3879855.17,1,"134",0,"1006",5,0
"50",8,"BANCO DO ESTADO DE SERGIPE SA","2017",0,33.56,4.79,0,0,871174.72,293,"",0,"304",6,0
"51",8,"BANCO DO ESTADO DE SERGIPE SA","2016",0,0,0,0,0,646598.31,8,"",0,"304",6,0
"52",8,"BANCO DO ESTADO DE SERGIPE SA","2015",0,19.16,2.62,0,0,643569.22,3,"",0,"304",6,0
"53",8,"BANCO DO ESTADO DE SERGIPE SA","2014",0,6.4,0.66,0,0,616638.59,402,"",0,"304",6,0
"54",8,"BANCO DO ESTADO DE SERGIPE SA","2013",0,0,0,0,0,528367.25,294,"",0,"304",6,0
"55",8,"BANCO DO ESTADO DE SERGIPE SA","2012",0,0,0,0,0,515209.07,272,"",0,"304",6,0
"56",8,"BANCO DO ESTADO DE SERGIPE SA","2011",0,0,0,0,0,389171.78,110,"",0,"985",2,0
"57",8,"BANCO DO ESTADO DE SERGIPE SA","2010",0,0,0,0,0,318850.66,20,"",0,"985",2,0
"58",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2017",0,0,0,0,0,0,0,"",0,"",0,12.3220006283061
"59",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2016",0,0,0,0,0,0,0,"",0,"",0,12.402399830685
"60",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2015",0,0,0,0,0,0,0,"",0,"",0,12.3926766860534
"61",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2014",0,0,0,0,0,0,0,"",0,"",0,12.3355426769812
"62",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2013",0,0,0,0,0,0,0,"",0,"",0,12.261005807555
"63",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2012",0,0,0,0,0,0,0,"",0,"",0,11.9365447836584
"64",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2011",0,0,0,0,180,437597.27,172,"",0,"",0,12.1295641020016
"65",9,"TECNOSOLO S/A - EM RECUPERAÇÃO JUDICIAL","2010",0,0,0,0,3499692,349905.3,68,"",0,"",0,12.0195382270832
"66",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2016",0,0,0,0,0,0,0,"",0,"",0,0
"67",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2015",0,0,0,0,0,0,0,"",0,"",0,0
"68",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2014",0,0,0,0,0,0,0,"",0,"",0,0
"69",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2013",0,0,0,0,0,0,0,"",0,"",0,0
"70",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2012",0,0,0,0,0,0,0,"",0,"",0,0
"71",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2011",0,0,0,0,0,0,0,"",1,"",0,0
"72",10,"TECBLU - TECELAGEM BLUMENAU S/A.","2010",0,0,0,0,0,0,0,"",0,"",0,0
"73",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2017",0,0,0,0,0,0,0,"",0,"",0,13.7854079879078
"74",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2016",0,0,0,0,0,573558.08,347,"",0,"327",2,13.7637771667483
"75",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2015",0,0,0,0,0,567668.83,338,"",1,"327",2,13.6919374169536
"76",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2014",0,0,0,0,0,649544.44,11,"",1,"",0,13.6303345310441
"77",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2013",0,0,0,0,1644812,800331.91,204,"",1,"",0,13.6317271331618
"78",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2012",0,0,0,0,1644812,1000318,452,"",0,"",0,13.6381514677401
"79",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2011",0,0,10.2,0,1644812,153025,235,"",0,"",0,13.1388507112618
"80",11,"TEKA TECELAGEM KUEHNRICH SA - EM RECUPERAÇÃO JUDICIAL","2010",0,0,0,0,1653114,686543.14,63,"",1,"",0,13.2204986537719
"81",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2017",0,0,0,0,350087,739907.93,137,"",0,"356",7,12.2298819412818
"82",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2016",0,0,0,0,1555375,665219.57,39,"",0,"356",7,12.2995720960442
"83",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2015",0,0,0,0,1555375,766921.63,165,"",0,"356",7,12.3490164768451
"84",12,"TEKNO S.A. INDÚSTRIA E COMÉRCIO","2014",0,0,20.18,0,1532268,840202.13,254,"",0,"356",7,12.3993959604319
